epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31559.2,1.46496,1.08996,1.06835,0.50022,0.46714,0.44048,0.22291,1.85994,1.89273,1.65686,0.0095941,0.0095941,0.0095941
43,32278,1.47338,1.09021,1.07578,0.54237,0.46125,0.46268,0.23708,1.79083,1.8543,1.56347,0.0095842,0.0095842,0.0095842
44,32999,1.46851,1.08484,1.06945,0.56623,0.42207,0.43571,0.22667,1.83352,1.93139,1.57483,0.0095743,0.0095743,0.0095743
45,33718.2,1.43724,1.05806,1.0652,0.49138,0.45155,0.41867,0.22161,1.83822,1.94502,1.60351,0.0095644,0.0095644,0.0095644
46,34438.4,1.4388,1.04592,1.05728,0.53267,0.44354,0.44481,0.23371,1.81036,1.87477,1.58961,0.0095545,0.0095545,0.0095545
47,35165.9,1.44544,1.05032,1.06099,0.51428,0.43742,0.44044,0.23145,1.80017,1.86181,1.61228,0.0095446,0.0095446,0.0095446
48,35880.9,1.4278,1.04321,1.05689,0.55631,0.42684,0.42437,0.22041,1.83725,1.92221,1.63238,0.0095347,0.0095347,0.0095347
49,36599.1,1.43646,1.05652,1.06138,0.54061,0.44501,0.4349,0.22949,1.79096,1.91948,1.60919,0.0095248,0.0095248,0.0095248
50,37315.8,1.43048,1.0301,1.05922,0.51303,0.45385,0.4329,0.22767,1.82803,1.90748,1.62382,0.0095149,0.0095149,0.0095149
51,38038.7,1.41508,1.03291,1.05885,0.53173,0.43942,0.42853,0.22508,1.84403,1.91872,1.60028,0.009505,0.009505,0.009505
52,38760.6,1.42698,1.02676,1.05458,0.56539,0.43783,0.44269,0.23346,1.81356,1.8389,1.64019,0.0094951,0.0094951,0.0094951
53,39485.7,1.42463,1.00896,1.04984,0.53534,0.46962,0.44583,0.23542,1.79057,1.88516,1.57229,0.0094852,0.0094852,0.0094852
54,40274.2,1.41198,1.00507,1.04849,0.5569,0.45265,0.43786,0.22833,1.78523,1.87496,1.58303,0.0094753,0.0094753,0.0094753
55,41043.6,1.39519,0.99908,1.04974,0.52816,0.45856,0.42532,0.22281,1.81895,1.88568,1.61345,0.0094654,0.0094654,0.0094654
56,41838.9,1.40869,1.00558,1.05041,0.55663,0.45533,0.43809,0.2329,1.78247,1.89429,1.57553,0.0094555,0.0094555,0.0094555
57,42625.7,1.39052,0.99566,1.05031,0.5319,0.46067,0.44389,0.2337,1.83349,1.89018,1.64082,0.0094456,0.0094456,0.0094456
58,43424.4,1.39104,0.99372,1.05062,0.50955,0.45745,0.43552,0.21831,1.82162,1.8243,1.6133,0.0094357,0.0094357,0.0094357
59,44184,1.39033,0.98464,1.04043,0.5173,0.46573,0.4385,0.22793,1.81626,1.86687,1.60602,0.0094258,0.0094258,0.0094258
60,44921.5,1.38818,0.98555,1.04091,0.51845,0.47143,0.42439,0.22028,1.84428,1.80952,1.62412,0.0094159,0.0094159,0.0094159
61,45658,1.38806,0.98129,1.03879,0.53852,0.44365,0.42745,0.22316,1.82808,1.8926,1.61073,0.009406,0.009406,0.009406
62,46400.1,1.37928,0.96695,1.03459,0.54337,0.44353,0.422,0.22581,1.78058,1.83467,1.57331,0.0093961,0.0093961,0.0093961
63,47166.3,1.37487,0.96342,1.03184,0.5438,0.46512,0.44396,0.23167,1.81434,1.88036,1.59826,0.0093862,0.0093862,0.0093862
64,47999.3,1.38693,0.96871,1.03863,0.52131,0.47484,0.44014,0.23755,1.8078,1.85406,1.60998,0.0093763,0.0093763,0.0093763
65,48834.6,1.35302,0.94826,1.02868,0.52234,0.4393,0.43117,0.23234,1.80767,1.85924,1.62541,0.0093664,0.0093664,0.0093664
66,49682.8,1.35155,0.9484,1.02575,0.57486,0.45468,0.44489,0.23821,1.7934,1.81116,1.6076,0.0093565,0.0093565,0.0093565
67,50508.2,1.3585,0.94247,1.02395,0.51531,0.46339,0.44662,0.24053,1.82853,1.85693,1.63355,0.0093466,0.0093466,0.0093466
68,51436.7,1.35123,0.93324,1.02782,0.56165,0.43779,0.44371,0.22708,1.81997,1.91422,1.61398,0.0093367,0.0093367,0.0093367
69,52449.8,1.36022,0.94077,1.03097,0.52965,0.47848,0.43166,0.22341,1.81426,1.81847,1.62347,0.0093268,0.0093268,0.0093268
70,53420.5,1.34661,0.93859,1.02818,0.54245,0.45338,0.43658,0.2248,1.80486,1.86746,1.61322,0.0093169,0.0093169,0.0093169
71,54388.6,1.34513,0.93684,1.02603,0.48858,0.48203,0.43435,0.22917,1.7664,1.85569,1.56958,0.009307,0.009307,0.009307
72,55304.5,1.3491,0.92197,1.02028,0.58414,0.42856,0.44608,0.23241,1.77184,1.86369,1.58618,0.0092971,0.0092971,0.0092971
73,56227.7,1.34047,0.92444,1.0202,0.52409,0.47953,0.44166,0.231,1.82213,1.81516,1.63235,0.0092872,0.0092872,0.0092872
74,57159.1,1.32349,0.9002,1.01499,0.53543,0.5043,0.4719,0.24482,1.79838,1.73401,1.60853,0.0092773,0.0092773,0.0092773
75,58083.1,1.33278,0.90813,1.0139,0.51325,0.47601,0.43451,0.23211,1.77293,1.81687,1.59886,0.0092674,0.0092674,0.0092674
76,58883.7,1.31711,0.90965,1.01388,0.53618,0.45313,0.44119,0.22571,1.82217,1.83187,1.62353,0.0092575,0.0092575,0.0092575
